claim_id,delivery_id,reason,amount_claimed,claim_status,claim_date,resolved_date,shipment_id,carrier,status,delivery_duration_days,damage_flag,proof_of_delivery_status,origin_warehouse,destination_city,ship_date,delivery_date,product_id,quantity,freight_cost,vendor_id,vendor_name,contract_start,contract_end,vendor_rating,country,warehouse_id,stock_level,reorder_threshold,last_restock_date,next_restock_due
C00001,D00038,Damage,338.78,Rejected,2025-06-03,2025-06-19,S00039,"Burns, Lopez and Jones",Lost,10,0,Pending,W009,East Scottchester,2025-08-01,2025-08-11,P0038,125,329.43,V034,Mckee-Munoz,2024-01-27,2025-01-26,4.1,Papua New Guinea,W010,54,293,2025-08-24,2025-09-12
C00001,D00038,Damage,338.78,Rejected,2025-06-03,2025-06-19,S00039,"Burns, Lopez and Jones",Lost,10,0,Pending,W009,East Scottchester,2025-08-01,2025-08-11,P0038,125,329.43,V034,Mckee-Munoz,2024-01-27,2025-01-26,4.1,Papua New Guinea,W008,636,107,2025-07-22,2025-08-03
C00001,D00038,Damage,338.78,Rejected,2025-06-03,2025-06-19,S00039,"Burns, Lopez and Jones",Lost,10,0,Pending,W009,East Scottchester,2025-08-01,2025-08-11,P0038,125,329.43,V034,Mckee-Munoz,2024-01-27,2025-01-26,4.1,Papua New Guinea,W004,820,141,2025-07-11,2025-07-29
C00001,D00038,Damage,338.78,Rejected,2025-06-03,2025-06-19,S00039,"Burns, Lopez and Jones",Lost,10,0,Pending,W009,East Scottchester,2025-08-01,2025-08-11,P0038,125,329.43,V034,Mckee-Munoz,2024-01-27,2025-01-26,4.1,Papua New Guinea,W001,831,201,2025-07-20,2025-08-19
C00001,D00038,Damage,338.78,Rejected,2025-06-03,2025-06-19,S00039,"Burns, Lopez and Jones",Lost,10,0,Pending,W009,East Scottchester,2025-08-01,2025-08-11,P0038,125,329.43,V034,Mckee-Munoz,2024-01-27,2025-01-26,4.1,Papua New Guinea,W002,942,205,2025-08-20,2025-08-27
C00001,D00038,Damage,338.78,Rejected,2025-06-03,2025-06-19,S00039,"Burns, Lopez and Jones",Lost,10,0,Pending,W009,East Scottchester,2025-08-01,2025-08-11,P0038,125,329.43,V034,Mckee-Munoz,2024-01-27,2025-01-26,4.1,Papua New Guinea,W009,774,243,2025-08-04,2025-08-28
C00001,D00038,Damage,338.78,Rejected,2025-06-03,2025-06-19,S00039,"Burns, Lopez and Jones",Lost,10,0,Pending,W009,East Scottchester,2025-08-01,2025-08-11,P0038,125,329.43,V034,Mckee-Munoz,2024-01-27,2025-01-26,4.1,Papua New Guinea,W005,110,189,2025-07-20,2025-08-17
C00001,D00038,Damage,338.78,Rejected,2025-06-03,2025-06-19,S00039,"Burns, Lopez and Jones",Lost,10,0,Pending,W009,East Scottchester,2025-08-01,2025-08-11,P0038,125,329.43,V034,Mckee-Munoz,2024-01-27,2025-01-26,4.1,Papua New Guinea,W004,966,260,2025-09-09,2025-09-29
C00001,D00038,Damage,338.78,Rejected,2025-06-03,2025-06-19,S00039,"Burns, Lopez and Jones",Lost,10,0,Pending,W009,East Scottchester,2025-08-01,2025-08-11,P0038,125,329.43,V037,Davis-Henderson,2024-01-31,2025-01-30,2.5,New Zealand,W010,54,293,2025-08-24,2025-09-12
C00001,D00038,Damage,338.78,Rejected,2025-06-03,2025-06-19,S00039,"Burns, Lopez and Jones",Lost,10,0,Pending,W009,East Scottchester,2025-08-01,2025-08-11,P0038,125,329.43,V037,Davis-Henderson,2024-01-31,2025-01-30,2.5,New Zealand,W008,636,107,2025-07-22,2025-08-03
